"Bulan","Jumlah"
"1","141002"
"2","144511"
"3","140623"
"4","142486"
"5","143889"
"6","123019"
"7","142511"
"8","144781"
"9","140623"
"10","146486"
"11","144889"
"12","121002"
"1","142511"
"2","144621"
"3","150623"
"4","158486"
"5","163889"
"6","122019"
"7","242511"
"8","144821"
"9","140623"
"10","156486"
"11","150103"
"12","110802"
"1","123511"
"2","134621"
"3","155623"
"4","160486"
"5","159089"
"6","213674"
"7","210452"
"8","128056"
"9","140623"
"10","134621"
"11","152094"
"12","158097"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","1089970"
"10","0"
"11","0"
"12","0"
"1","935911"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"1","87978"
"2","75089"
"3","67879"
"4","607"
"5","6035"
"6","608"
"7","6105"
"8","61305"
"9","61755"
"10","614"
"11","62105"
"12","107782"
"1","85125"
"2","76521"
"3","69989"
"4","76147"
"5","54752"
"6","85127"
"7","76501"
"8","616"
"9","6573"
"10","42681"
"11","40587"
"12","48657"
"1","65668"
"2","7035"
"3","80035"
"4","35462"
"5","386"
"6","3658"
"7","378"
"8","401"
"9","38403"
"10","40150"
"11","60300"
"12","64234"
"1","47041"
"2","29400"
"3","520795"
"4","66520"
"5","42948"
"6","68960"
"7","51750"
"8","54091"
"9","74830"
"10","57598"
"11","51005"
"12","66216"
"1","350320"
"2","51340"
"3","60505"
"4","60450"
"5","70250"
"6","75160"
"7","53150"
"8","193250"
"9","145200"
"10","150200"
"11","162250"
"12","168300"
"1","352322"
"2","51357"
"3","24321"
"4","0"
"5","0"
"6","0"
"7","0"
"8","123172"
"9","48849"
"10","47257"
"11","48563"
"12","41321"
"1","41138"
"2","45369"
"3","47246"
"4","875"
"5","6472"
"6","0"
"7","0"
"8","0"
"9","740"
"10","655"
"11","837"
"12","7584"
"1","21579"
"2","18861"
"3","46754"
"4","196"
"5","10174"
"6","223681"
"7","573877"
"8","596752"
"9","631475"
"10","685351"
"11","179852"
"12","286433"
